caption,num_likes,num_comments,cluster
"Best prank ever? Best prank ever. 

Happy Mother’s Day to the superwomen in our lives 🧡

Featuring @the_creativepallete03 @sargamchaturvedii @krisha_jain @katariaaryann and their super cool moms 💜",2937,87,1
"This Friday are you ready to get set game 🎮🕹

Simply drop your referral code from the FamPay app in the comments below to win 🥇 

Head to our highlights to know how you can get your referral code!",3916,2025,3
keep adding 🤌,2451,62,1
me during the first 15 mins and the last 15 mins of an exam are two different people who could never be friends with each other🙅‍♀️,3344,44,1
sometimes what a person neds is just one caption that doesn’t have a typo,3503,54,1
wait for it 🫣,2858,109,1
"Tag a teacher's pet who can't relate 🤡

#reelit #schoolmeme #relatablememes #explorepageindia",27896,99,1
not putting elon musk here because nobody would pick him 🙃,4417,365,1
"Time to make money 🤑

 👉Drop you referral code in the comment section below 

👉Tag a friend who’s not on FamPay and make sure they get on FamPay and use your referral!

👉Lucky 10 to refer a friend successfully get 200 bucks!!!!

👉Also win upto Rs 5000 for yourself and guaranteed rewards for your friend once they successfully join.

Head over to our highlights to find your referral code and start earning now💨",2911,546,3
"Free. JBL. Headphones. That's it, that's the post.

Tag as many friends in the comments below and make sure all of y’all follow us. 🤝 🤝",2385,467,2
had me like 😳😳😳,5186,104,0
are you even a science student if you didn't share this with your friends with a 😭😭,2548,25,1
got this idea while i was writing my bored exam 🤲🏼,3385,40,1
cant stop laughing 😭,4588,63,1
secretly we all want our candy company 🤌,3022,38,1
need me an exam ender pack 😭,2979,29,1
"Create your own look with FREE Adidas drips worth 7K😳

Tell us how many likes this post will get in 24 hours and the closest answer wins🙌

Unlimited Guesses allowed👇🏻🏃🏻",3475,5035,1
My FamCard really said “idhar chala main udhar chala”,2577,53,1
pls can someone tell me what is “atthanve charso dus” in english with asap energy,4052,138,1
this reel will give you weekend energy on a tuesday 😭❤️,3898,62,1
5th one will make you cry 🫣,4835,37,1
"Pro, you listening to this 😂

Head over to the FamPay App and stand a chance to win Airpods Pro on us😳
PS. All participants get cashback upto Rs. 50.

More tickets = more chances of winning🤫",1876,40,3
swipe for the sweetest shortest story 💞,4325,79,1
"‼️THE WAIT IS OVER‼️

FFTW is back with a (cheese) burst💥

Tag your friends in the comments and you can win FREE pizza for a YEAR, plus a pineapple pizza for your friend 😈

Get. Set. Tag💨🍕

#FamPay #FFTW #FridaysForTheWin #GiveawayIndia #giveawayalertindia",2639,2223,2
tag someone whose roll number is 1 😭,3480,118,1
"🚫🧢 this is 💯🎯.

Comment your fav emojis and we'll get a boomer to interpret them for you 👀",2305,79,1
last ones my personal favourite 🤌🤌🤌,4928,82,1
computer lab can just leave 😤,2917,76,1
morning 😤😤😤,2322,29,1
this reel will make you stand up 🫡,3443,61,1
"We're giving away 20 FREE yearly subscriptions to Hotstar so you can watch the IPL without begging your friends for their password 👀👀

To win:
🏏Tag a friend you will share your password with and make sure you both follow us on Instagram!

Wanna watch the IPL LIVE live? Play the prediction game on the FamPay app everyday and stand a chance to win free tix to the finale🏃🏃",4125,747,3
tag your elder siblings and say nothing 🤫,2245,39,1
sorry to let a post decide your future like that 😭😭😭,3122,183,0
there’s a 50-50 chance that ima pass 😩,3391,20,1
>>>>> carrying a sick leave note signed by parents,1827,33,1
letsgooo,3431,2467,1
the risk taken was calculated but I’m bad at math 😭,3984,45,1
*drops mic*,3239,26,1
thak gaya hu bro 🥺🥺🥺,3587,35,1
"👀why you still here when you could be watching IPL Live for ✨free✨

Head over to the FamPay App and guess the winners of IPL matches all season🏏

🎖️Top 3 on the weekly leaderboard win their favorite team jerseys - EVERY WEEK‼️
🏆Top 3 on the global leaderboard win FREE tickets to the IPL Finale😳😳

Start Guessing NOW🏃‍♀️💨

#FamPay #GetFamPaid #IPL2022 #IPL",2250,25,3
start swiping 🏄‍♂️,2798,45,0
just realised im chennai’s stan 🫡,2429,285,1
easily the easiest and the toughest 7 marks ive gotten 🫥,2008,33,1
tell us your favourite snack from your canteen 🤤🫶,2466,61,1
"okay now go study your exam lessons also bye

#FamPay #GetFamPaid #ShinChan #ShinChanMemes",4525,52,1
this story really sadded me 😭😭😭,4576,114,1
last slide is straight up fax 🥶,3275,51,1
give petition ideas in the comments fast fast 👇🏻😭,2782,141,2
"iNeed it x1000🥺🥺

Head over to the FamPay app and join our giveaway to stand a chance to win an iPhone 12. For Free. Seriously.

All participants also win a cashback of up to Rs. 50🙌

Now get upto 200 tickets to make the iPhone 12 yours. 200 tickets = 200 chances🤝🤝

What are you still doing here👀",2910,194,3
tag an android user and tell them something super exciting is coming up tomorrow as a giveaway on the FamPay app 📱🤫,4418,222,3
tag a friend who is pure trash and call them kachra seth 🗑👑,3184,65,1
only the OG ones know that add gel stops working after 1 game of pen fight lol ✍🏽,5564,1039,1
"""No biggie, FamPay karde bro"" 😏😌",1911,79,1
whats your periodic table song? 🤔,2442,95,1
"Permission to drop your jaw?
You can win FREE TICKETS to the Permission To Dance Live Concert happening in Bangalore on 12th March! 🤩

Simply tag a friend that you'd like to take with you, make sure you're both following us, and you might just win 🥳

Venue: Forum Mall Koramangala and Phoenix Marketcity, Bangalore 📍

Contest ends at 10 pm, 10th March. 
Participate now.👇🏻💜",3083,518,3
double tap and wait for our next post 💜,3905,121,1
mera toh bad luck bhi kharab hai 👎🏻,2157,58,1
Itna complicated nahi hai yaar,6335,152,1
"drop the bass and pick your waste guys🧹 🗑 

#FamPay #GetFamPaid #DropItChallenge #SwacchBharat #TrashChallenge",4583,61,1
Trigonomefry 🤕,3594,64,1
exam hi kyun rakhna hai 🤔,5257,66,1
Tag a friend who owes you money 😫🤌🏻,4919,413,0
"We can't get you buddies but we can get you buds. 🥰

Head over to the FamPay App and stand a chance to win FREE @leaf.studios Earbuds now💨💃🏻

#FamPay #GetFamPaid #Giveaway #BluetoothEarphones #Earphones",2459,91,3
🤔🤔🤔,2768,900,1
"if you guess it right, we give you as many famcoins 🤑",2520,843,1
our dms are funnier than yours 😩🤚🏽,6651,117,1
slide into their dms 🤝🤝🤝,3188,203,1
"Tag that friend who is gonna be your first click with this camera.👇🏻🥰

#FamPay #InstantCamera #fridaysforthewin #giveawayindia #giveawayalert",3301,2397,2
how much chillar do you have rn?,2702,123,1
dhoom dhoom just take my lie 😭,4213,155,1
"if we get 2222 comments on this post, 22 people get 2222 famcoins 🥈",4397,2568,3
comments mein tag karke apne paise vasool lo 👇🏻😤👇🏻,1836,104,1
"Love these? Great, cause we do too! 🧡

All the sneaker-heads, last chance to participate in the Classic Sneaker giveaway! 
Go spam our Friday's post and drop in your shoe size.

We might just customise the pair according to your style. 👀🏃‍♀️

#FamPay #SneakerHead #SneakerGiveAway #GetFamPay #Sneakersaddict",2630,385,2
how brown parents be like but this time y’all said it 😩😩😩,1684,36,0
bruh brown parents really be like,1647,33,0
"Win the Classic NIKE AIR FORCE 1!! 👟

All you gotta do is tag your solemate and tell us your shoe size in the comments below.

Just do it. ✔️

#FamPay #FridayFTW #nikeairforce1 #nikegiveaway #sneakerhead #shoegiveaway #justdoit✔️",3579,3790,2
"Give us a '🤌🏻' if this happens ""accidentally"" to you too 😩

#FamPay #Relatable #examtime #teenagerposts #schoolmemes #reelitfeelit #explorepageindia #featureindia",2674,40,1
"Please swipe nahi karna. 3rd slide toh bilkul nahi dekhna🙅

And FamPay App ka @cultfitofficial giveaway join karke Fitness Goals toh kabhi achieve mat karna🤫❌

#FamPay #GetFamPaid #Giveaway #Cultfit",1735,29,3
"Raise your hand if you've left extra lines and borrowed a supplement just to stress your friends. 🙋

#FamPay #GetFamPaid #examseason #examstress #exammemes #examtime",1491,17,1
"you tap at your own risk 🤷‍♀️

#FamPay #GetFamPaid #Valentine #ValentineMemes",3170,117,1
"if you had a date, you wouldn’t be reading this post 😭

#FamPay #valentineday #foreveralone",1494,29,1
"me (admin), who is single (open to date) will make fun of you (jealous of you) for being this cliché (loved)

#FamPay #ValentinesDay #dogememe #valentinememes",1683,54,1
"valentine’s day is approaching ofc this had to happen

#FamPay #valentineday #valentineweek #loveisintheair",1865,42,1
"This Fridays FTW you decide the gift 👀👀
One lucky winner gets a surprise from us worth exactly the total number of likes & comments on this post❓😱
You heard us right!
𝐓𝐡𝐞 𝐩𝐫𝐢𝐜𝐞 𝐨𝐟 𝐭𝐡𝐞 𝐠𝐢𝐟𝐭 = 𝐋𝐢𝐤𝐞𝐬 + 𝐂𝐨𝐦𝐦𝐞𝐧𝐭𝐬
Go crazzyyy in the comments below to unlock our craziestt giveaway yet 🤩👇🏻

Winner: @anandsnambiar Congratulations! 🥳

#FamPay #GetFamPaid #FridaysForTheWin #FTW #MysteryBox  #GiveawayIndia",3133,2620,2
"What goal have you set for this year? Tell us in the comment section below 👇🏻 

Vibin w our rockstar @jeeeeet_ ✨

#FamPay #Teen.mp4 #GetFamPaid #SongCover #reelitfeelit #Reelit #explorepage",1646,2284,2
"What's your answer👀
Drop a 🙏🏻 if you're the friend asking to copy.

#FamPay #GetFamPaid #GenzHumour #classroommemes #genzmemes",1819,255,1
"Are you even the main character if you still don't have your own FamCard. 🤷‍♀️ 

#FamPay #GetFamPaid #FamCard #ItsAVibe #Teens",1697,45,1
"Raise your hands if you miss shark tank already. 🙋‍♂️ 🙋‍♀️ 😢 

#FamPay #GetFamPaid #SharkTankIndia #SharkTank #Memes",3074,49,1
"F̶r̶i̶d̶a̶y̶s̶ Foosball for the Win is here🥳

Spam the comments with #fridaysforthewin to win👇🏻🥳

#FamPay #GetFamPaid #FridaysForTheWin #FTW #foosball #GiveawayIndia",1796,3837,2
"Kids: Mujhe sona hai
Fam: Mere paas Sona hai🌟

Head over to the FamPay app and enter our Gold giveaway with guaranteed rewards for everyone🤑

10 winners also get 1gm of gold worth Rs. 5500🤯

Join the 24K Magic now💨💃🏻

#FamPay #GetFamPaid #Spenny #Gold #GoldGiveaway #GiveawayIndia",1744,43,3
"Think our designers made a mistake with this one.😵‍💫

Guess our next giveaway with an emoji and we'll ask them if it's correct. 👀

#FamPay #GetFamPaid #Giveaway #Surprise #Guess #Spoilers #SpoilersWithoutContext",2678,262,3
"Tag the teacher's pets in the comments to let them know you're on to them👀🙅

#FamPay #GetFamPaid #SchoolMemes #TeachersPet #SchoolLife #ReelsIndia",2626,75,1
"The first letter of your name + your birth month = name of your personal cryptocurrency. 😛 

Comment your crypto name below and ask your friends to like your comment ✨ 10 comments with the HIGHEST LIKES will win Rs. 150 worth of BTC!

PS. Admin’s working on a Sunday, so get this post to 5000 comments, pretty please? 🥺

#FamPay #GetFamPaid #Cryptocurrency #Bitcoin #Crypto #CryptoGiveaway",3442,904,2
"Fridays for the win is back 🕺 

This time let the good times roll with a skateboard! To win, spam the comment section with as many 🛹 emojis as you can 🤪

#FamPay #GetFamPaid #FridaysForTheWin #FTW #Skateboard #GiveawayIndia #Skates",2787,11491,2
"We’ll start: what’s with only cash payments in the canteen 🙅🏼‍♀️

Tell us your version in the comments below 👇🏻

#FamPay #GetFamPaid #WhatIf #StudentLife #School #BreakTheRules",1585,392,0
"Every Republic Day Ever (except the ones that happened during the pandemic sorry guys). Share with your friends to manifest this for next year✨

#FamPay #GetFamPaid #RepublicDay #ReelsInstagram #SchoolReels #RepublicDayIndia",2102,28,1
"Hodl your FamCoins no longer. Get tickets to our BTC giveaway and win 150 worth of free crypto of your choice. 

Link in our bio🔗

#FamPay #GetFamPaid #CryptoCurrency #Bitcoin #Giveaway #CryptoIndia",1252,38,3
"The struggle is too real :'(

#FamPay #teensinger #genzhumor #feelit #reelit #feature #explorepageindia",1440,59,1
"Head to the FamPay App to enter the giveaway now🏃🏼‍♀️

Comment ✨I am giveaway winner ✨ to manifest your win.

1k comments on this post and we’ll give ₹150 worth of crypto to 21 lucky winners.

#FamPay #GetFamPaid #Giveaway #Teen #crypto",3400,1109,3
"Squad Assemble 📢

Stand a chance to win FREE Boat x Marvel Gadgets this Fridays FTW🤩

Tag a friend in the comments and tell us what song you'll jam to first🎶

You could both become our lucky winners this week🥳

Go ahead and tada-ta-Tag💥

#FamPay #TGIF #FridayForTheWin #FridayFTW #Giveawayalert #FridayGiveaway #giveawayindia",3242,1944,2
"No one:
That one friend: Itna atirikt abhiyan karna band karo

@ the boomer of your group👀

#FamPay #GetFamPaid #genzhumor #genzslang #okboomer #funnytranslations",1662,76,1
"Where’s the lie? 
Give us a ‘⚡️’ if you agree.

#FamPay #GetFamPaid #Mitochondria #RanveerSingh",1983,61,1
"Fridays (Foodies) FTW is back💃🏻

To win your weekend meal on us, tell us what you're ordering in emojis and you can be our lucky winner if the number of likes on your comment is exactly equal to the number of replies‼️😉

We Repeat: Free Food. Comment🍕. Likes = Comments. 🏆😋

#FamPay #TGIF #FridayForTheWin #FridayFTW #Giveawayalert #FridayGiveaway #giveawayindia",2235,1191,2
"This is a sign to ask your crush out before vo status update karde. Nahi toh ye Valentine's bhi ""forever single"" vaale memes repost karne padenge🥲👀

#FamPay #GetFamPaid #MakarSankranti #KiteFestival #CrushMemes #LOL",2032,65,1
"Jeetu Bhaiya told us to be around people that make us better so we came here to be with you guys🥰🤝
1 like = 1 aww🥺

#FamPay #GetFamPaid #JeetuBhaiya #KotaFactory #ThursdayThoughts",2050,22,0
"That 🤯 moment when you:
🎮Win a PS5 Giveaway by FamPay
😭Meet TANMAY BHATT
🤳Become a YouTube Celeb

Checkout the full Vlog on YouTube and tell us what exam Aditya mentions in the video and lucky winners will get Google Play Recharge Codes on us.😉⬇️

#FamPay #GetFamPaid #PS5 #GiveawayIndia #GiveAwayWinner",4534,142,3
"Should we change our tagline to - renewing friendships and payments for GenZ. 😝

#FamPay #GetFamPaid #LeftOnRead #FriendMemes #FriendshipMemes #TagSomeone",1955,154,1
"Reminder to be extra nice to your relatives because Diwali is only 10 months away now. 🙏🏻

Also let your relatives know, they can send their ble$$ings on FamPay. 😌

#FamPay #GetFamPaid",2969,63,1
"When you've rewatched the movie so many times that now you see it everywhere.🥴

Get your FamCard now at Rs. 99 and your FamCard Me at Rs. 299 only. Head over to the app and get your FamCard now.💨

#FamPay #GetFamPaid #FamCard #Spiderman #Meme",2259,86,3
"Wanna win a creator's station including a ring light, tripod, green screen and a mic? 
Tag a friend you'd want to go viral with and you might just win 😉

PS. Make sure you're both following us!

#FamPay #TGIF #FridayForTheWin #FridayFTW #Giveawayalert #FridayGiveaway #giveawayindia",2512,1185,2
"Food is a love language and no one speaks it like our mom.🥺

What's your comfort food that makes you💃💃👀

Featuring the super foodie @katariaaryann 💙

#FamPay #GetFamPaid #FoodIsLove #TeenLife #MomKeHaathKaKhaana #ReelsIndia",3187,47,1
"Batao batao👀
Comment E if your answer is all of the above😓🙏🏻

#FamPay #GetFamPaid #ExamMemes #StudentMemes",1930,286,1
"Yes we know, it’s a lame joke. 😝 
Tag that friend who can beat us at our game!

#FamPay #GetFamPaid #Puns #PunsForDays #CoffeeJokes #lol",2173,88,1
"New year same old jokes. 😌

Tell us your version in the comments below 👀👇🏻

#FamPay #GetFamPaid #FamPayIndia #NewYearEve #NYE2021 #newyearseve #HappyNewYear",1555,63,2
"Everyone else: The last Friday of the year :((
Us: Fridays For the Win is HERE 🥳

Here's your chance to welcome the new year with your own Ukulele 🎸

Giveaway instructions: 
If you are the last person to comment #FamPayFridaysFTW before our comment you will be the winner of a Free Ukulele 🎉

Start commenting now and manifest your resolution to learn a new instrument 😍✨

#FamPay #TGIF #FridayForTheWin #FridayFTW #Giveawayalert #FridayGiveaway #giveawayindia",1867,3649,2
"Aaj toh bata hi do👀

Tag your mom to tell her that you love her (but you'll love her more with the new rules)🤗😂

#FamPay #GetFamPaid #TeenLife #Lol #LoveYouMom",1661,164,1
"You: No, my drawer is not conspiring against me with your mom. 
Le drawer:

Featuring the very funny @katariaaryann ⭐️ 

#FamPay #GetFamPaid #FunnyReels #ParentMemes #TeenProblems",3305,62,1
"Admin couldn’t think of the caption because they’re toooo excited for tomorrow’s big day of giveaways. 😛 ⭐️ 🎄

12 hours. Amazing gifts every hour. Starts at 12 pm tomorrow. You gots to be there.

#FamPay #GetFamPaid #ChristmasEve #ChristmasGiveaway #GiveawayIndia",2905,162,3
"What’s a notification you’d love to see from us? 😛 Tell us in the comments and we’ll give the best ones a shoutout ✨

#FamPay #GetFamPaid #GetRewarded #PaymentsMadeEasy",2117,89,2
"All the other kids in their PUMA kicks. 🎶 

Let’s change that shall we! Now you can win any of these PUMA sneakers for free! 

And the best part is every single participant will get a guaranteed reward. 

So better run better run, outrun everyone. 🏃‍♀️Head over to the FamPay app now.

#FamPay #GetFamPaid #Puma #Giveaway #PumaGiveaway #Sneakerheads #SneakerAddict",2067,68,3
"Did your mom let you go to sleepovers whenever you wanted or are you normal? 🤷‍♀️

#FamPay #GetFamPaid #TeenMemes #StudentMemes #IndianParentsBeLike",2515,75,1
"We love sneakers and we also love all of you! So here’s a chance for you to win any of these 5 sneakers from @pumaindia for free!

Yes. We’re giving away 5 sneakers. So head over to the FamPay app NOW!

Oh and also - there’s a guaranteed reward for participating in this giveaway 👀🚀

#FamPay #GetFamPaid #Puma #Sneakers #SneakerHead #GiveawayIndia #SneakerGiveaway",1547,77,3
"🚨Alert: Your weekends are about to become really, really awesome.

Join us in Fridays For the Win🎉 every week and get gifts that make you go WOAH.

To win Portable JBL Speakers this Friday all you gotta do is tag a friend whose music vibe matches yours and get them to follow us‼️

WE REPEAT: Fridays, Tag, Follow, Win😉💁▶️

#FamPay #TGIF #FridayForTheWin #FridayFTW #Giveawayalert #FridayGiveaway #giveawayindia",3188,962,2
"When you’ve 
#FamPay #FamCard #TeenwithMoney #unpluggedsongs #Teenmp4 #exploreindia #Reelitfeelit",1504,63,1
"Where's the party tonight?
Where ever you want it to be!💃🏼🥳

No seriously, movie, food, or bowling, whatever you do next weekend, we're sponsoring your party up to Rs. 3000. 💸🤑

Tag your squad in the comments and stand a chance to win an evening out with your friends! We know you've earned this. 🙌🤝

#FamPay #GetFamPaid #Giveaway #Contest #PartyOnUs #FriendsNight",3897,987,3
"Who 

#FamPay #GetFamPaid #InstaReels #StudentLife #Exams",2190,34,1
"And that's how teens 'wrapped' this year! 

Describe your 2021 in a song in the comments below. ⬇️🎤
3 lucky winners will win a @spotifyindia Premium subscription. On us 😉 

#FamPay #GetFamPaid #SpotifyWrapped #Spotify #Giveaway #ContestAlert",3486,386,2
"Things we understand: Cool skins, ad-free videos, Super Chatting with your fave Youtubers, and 4x Rewards

Things we don't understand: What you’re still doing here 🏃‍♀️

Head over to the FamPay Store now to get your Google Play Recharge Code now. 🤑

#FamPay #GetFamPaid #GooglePlay #GooglePlayGiftCard #SuperChat",3160,121,3
"FamPay

#FamPay #GetFamPaid #ReelsIndia #MusicReels #PocketMoney",1156,36,0
"Alright Fam, there’s just two steps to getting rich 🤑 :

1️⃣ Click the link in bio, register for the BGMI tournament! 
2️⃣ Head to our previous post and comment to win FREE Google Play Recharge codes.

What are y’all still doing here? Hurry and get those coins now. 🏃‍♀️

#FamPay #GetFamPaid #BGMI #BattleGroundMobileIndia #GamingTournament #GamingIndia",2273,82,3
"What we say: Get Google Play Recharge Codes on the FamPay app!
What we mean: Get 4x rewards while levelling up in your fav games😉

Get Google Play Recharge Codes on the store section of the FamPay app now. 🎉 

Tag a friend and tell them what game you’re going to play together! Every 20th comment gets Rs 50 worth of Google Play Recharge Codes- only 100 up for grabs. So go go go!

#FamPay #GetFamPaid #GooglePlayGiftCard #GooglePlay #ContestAlert",1991,959,4
"We'll start: ""How to cook more than just maggi""

Comment your answers below to ✨manifest your dream classes✨

#FamPay #GetFamPaid #ExistentialQuestion #SchoolLife #Subjects",2294,501,2
"This is now a support page for everyone who gets these.😤 Tag the 90s kids to remind them they're not a teen anymore.

#FamPay #GetFamPaid #90skids #Millennials #OldButGold #GenZMemes",3127,46,1
"Wanna be the sole owner of the COOLEST Joker NFT?!
Head to the FamPay App and enter the giveaway to win it!🏃🏼‍♂️

Looking to win extra tickets? Here's what you gotta do 😏
👉 Share this post on your story
👉 Comment the full form of NFT below, wrong answers only 👀
👉 The best comments, who've also shared our post, will win 10 free tickets (worth 5000 FamCoins!!) to the giveaway 🤑

If your profile is private, share the screenshot with us on DM!

#FamPay #GetFamPaid #Giveaway #GiveawayIndia #NFT #NFTGiveaway #ContestAlert #WhyAreYouStillReading",2426,194,3
"Got Santa

#FamPay #GetFamPaid #ReelsIndia #Reels #SplitBillsNotFriendships",1502,40,1
"What does your last name mean in Urban Dictionary? 😋

#FamPay #UrbanDictionary #Urbanmeaning #Dictionarymeaning #Trending",2562,139,1
"The first letter of your name + your birth month is your K-pop band name. 🎸 
What did you get? Tell us in the comments below.👇

#FamPay #FamPayIndia #Namegenerator #koreanmusic #kmusic #kpop #kpopname",2745,270,2
"What line did you connect the most to? 
 
Our rockstar @jeeeeet_ doing what he does the best 🥵

#FamPay #FamPayIndia #indiemusic #selfcomposed #lovenwantiti #remake #relatable",1807,75,1
"Ever heard of Squad Game? 🤔 
It's when you tag 4 friends in the comments and 1 lucky squad wins FREE movie tix. 😎 
Tag away!🍿

Winner will be announced on Wednesday, 24th November 🤝

#FamPay #GetFamPaid #giveawayindia #giveawaycontest #giveawayalert #wintickets",6900,2953,2
"Going to college for the classes: 🥱
Going to college for the campus: 😍

@banaras.hindu.university @iitgwt @iit.roorkee @iimaofficial @iimkozhikode 

#GetFamPaid #FamPay #Teenlife #Collegelife #educationinindia #indianeducation #bestcollege #bestcolleges",1264,27,1
"Contrary to popular belief, Children's Day is actually for all of us to celebrate.
Because let's face it, we never really grow up, do we? ❤️

Happy Children's Day! 🤗

#FamPay #GetFamPaid #ChildrensDay #ChildrensDay2021 #ChildhoodNostalgia",3938,256,1
"If you’re reading this, know that you’re sodium cute. 🙃

#FamPay #GetFamPaid #Puns #Punstagram #ChemistryMemes #SchoolMemes #StudentLife",3107,88,1
"This is @taneesho.
She uses FamPay to get the best discounts. 🛍 
She also gets rewarded for it. 🎁
Be like @taneesho. 

#FamPay #GetFamPaid #ReelsInstagram #Rewards #CardForTeens #ShopAndSave",3283,27,3
"Give us a ‘🤝’ if you relate 

#FamPay #GetFamPaid #RelatableMemes #SchoolLife #StudentMemes",2878,47,1
"What’s something you’re close to telling? Aaj bol hi dalo. 📣

#FamPay #GetFamPaid #ReelsIndia #ThisCloseTo #TruthBeTold #Relatable",1796,53,1
"First letter of your name + Birth month = Your Bollywood movie character name!

Tell us your name below ⬇️

#FamPay #GetFamPaid #Bollywood #Movies #SaturdayVibes",3600,354,2
"Happy Diwali Adarsh followers 🙏🏼🪔

Tell us what twists you’ve added to your Diwali traditions!

#FamPay #GetFamPaid #HappyDiwali #Diwali2021 #LoveAndLight",2525,94,1
"This is actually a SRK birthday celebration post. 💜 

But now that you’re here, head over to the FamPay app and get your raffle tickets for the PS5 now! 🏃‍♀️

#FamPay #GetFamPaid #PS5Giveaway #Raffle #Playstation5 #SRK",1645,69,3
"Yeh Baburao ka (life)style hai.🤓 
What are your favourite moments of Baburao? Comments mein batao 👇

#FamPay #GetFamPaid #babubhaiya #phirherapherimemes #baburao #phirherapheri #relatablememes #memesindia",3279,37,1
"Tell us your short horror stories and we’ll pin the best ones. 📌 👻

#FamPay #GetFamPaid #Halloween #HalloweenEveryday #TeenThings #StudentMemes",3146,60,1
"Safe to say this rebranding has been met(a) with a lot of jokes. 😆

#FamPay #GetFamPaid #Meta #Facebook #Metaverse",2215,48,1
"We're not playin' - you heard it right! 🎮

PLAYSTATION 5 GIVEAWAY IS NOW LIVE ON THE FAMPAY APP! 🔥

Get your tickets. Enter the giveaway. Win the gaming console of your dreams. 🤩

Psst, listen up! 👂 Wanna win yourself 20 free tickets?
Get exactly 5 friends to reply to your comment on this post, and make sure they follow us @fampay.in

Start commenting and head over to the FamPay app now!

#FamPay #GetFamPaid #Playstation5 #Playstation #Giveaway #Raffle",2510,509,3
"This reel slaps right in the feels! 🥺❤️

#trendingreel #nostalgia #nostalgicreel #whogotyousmilinglikethat #trendingindia #exploreindia #relatablereels",2122,30,1
"Everyone is invited. Are you ready to play?😮

#FamPay #GetFamPaid #FamCoins #StayTuned #SoCoolItWillBlowYourMind",4485,243,1
"Tag that friend in the comment section.👇🏻

About time you exposed them.😤

#FamPay #GetFamPaid #tagthatfriend #relatablepost",2237,156,2
"Drop a 🙋‍♀️ if you feel attacked!

#FamPay #GetFamPaid #TeenLife #StudentProblems #indianparents #lol",2482,56,1
"Let’s continue this party in the comments below 😁

Are you even a teen if.....⬇️ 

#FamPay #GetFamPaid #RelatableMemes #SchoolLife #StudentMemes",2593,126,1
"Tag the friend who owes you. and if they promise to pay you back in the comments, both of you get 101 FamCoins as reward! 🤑

#FamPay #GetFamPaid #InstaChat #Brokeaf #Borrowers",3304,539,2
"Type “I spent all my pocket money on .....” and let predictive text complete this sentence. 😛 

Also... how cool is this original song by @rohanupadeo 🤩 

#FamPay #GetFamPaid #PocketMoney #OriginalSound #Music #ReelsIndia #SongReels",1109,53,0
"Classic student life! 
What’s your before-exam ritual? Tell us in the comments section below 👇🏻

#FamPay #GetFamPaid #StudentLife #ExamMemes #IllustrationsOfInstagram #StudentMemes",4044,45,2
"Time to pop some tags and grab FamCoins! 🛍 

What song describes your life right now! Spill the 🫖.

#FamPay #GetFamPaid #MusicReels #ReelsIndia #FeelItReelIt #Macklemore",1178,20,1
"We're curious. Comment 🙋‍♀️ if you've heard any of these period myths before!

#FamPay #PeeSafe #Menstruation #MenstruationMatters #MythBusters #GirlPower",8168,188,1
"First letter of the name + Birth month = Gamer name 🎮

Tag a friend and tell them their Gamer name! Every 50th comment wins a free pizza for both your friend and you. 🍕

#FamPay #GetFamPaid #Gamer #PizzaDay #ContestIndia #WednesdayMood",5612,1226,2
"Ye post jal raha hai 🔥, koee topi nahin 🧢

Comment below the slangs that we missed and we will decode it for you 🧠

#FamPay #GetFamPaid #Lol #GenZ #memes #teens #slang",2868,53,1
"Dhoni hitting the winning six - on the anniversary of M.S. Dhoni: The Untold Story's release - is giving us all the feels 🥺❤️

Clearly, this calls for a celebration! If you need us, we'll be treating ourselves and earning upto 4x FamCoins with FamPay 🥰

#FamPay #GetFamPaid #IPL2021 #Dhoni #DhoniFans #WhistlePodu",2020,34,1
"Brb, polishing our shoes for school rn 😤

BTW did we miss anything? Tell us in the comments :3

#FamPay #GetFamPaid #Relatable #Schoollife #TeenLife #schoolmemes #schoolmemories #Nostalgia #SchoolReopening",3137,179,1
"Brooo it’s time to ditch those awkward conversations.🙄 
We’ll let @devraiyanii explain 👨‍🏫

#FamPay #GetFamPaid #FamPayIndia #FamCard #NumberlessCard #ForTeens #FamCardMe #AwkwardConversations",2032,43,1
"Flakers gonna flake! 🤷‍♀️ 

@ that friend and tell us the worst excuse they've given you for cancelling a plan last minute!

#FamPay #GetFamPaid #TagThatFriend #Friendship #FriendsGoals",2721,284,2
"Oh snap! Another excuse?!💀

Tag that friend who owes you money and ‘avenge’ your wallet. 😉

#FamPay #GetFamPaid #FamCard #Thanos #ThanosSnap #Marvel #ComicStrip #ComicsOfInstagram",3523,124,1
"@alinanamazi has found the one. And something tells us you will too after watching this. 😉

#FamPay #GetFamPaid #FamCard #Cashless #TheOne #InLove💕",2142,86,1
"Continue the obvious IPL happenings below ⬇️

Now that the IPL is finally back, which team are you cheering for in phase 2 of the IPL? 

#FamPay #GetFamPaid #IPL2021 #IPLMemes #MIvsCSK #CricketFans",2888,66,1
"We'll go first! 😋
Parathas every morning for breakfast >>>
Grandparents' Day, tell us about that one dish your grandma makes that’s your absolute fave. 🍛 

#FamPay #GetFamPaid #Grandparents #GrandparentsDay #Grandmother #SummerVacation #SchoolDays",2423,224,1
